customer_id,first_name,last_name,email,signup_date,city,gender
1001,Mthokozisi,Myeni,mthokozisi.myeni59@gmail.com,2024-11-16,Bethlehem,Female
1002,Thandeka,Radebe,thandeka.radebe80@gmail.com,2024-11-16,Bergville,Male
1003,Lerato,Williams,lerato.williams45@gmail.com,2024-02-19,Harrismith,Female
1004,Nompumelelo,Williams,nompumelelo.williams11@outlook.com,2024-01-15,Colenso,Female
1005,Palesa,Du Plessis,palesa.duplessis76@yahoo.com,2024-09-02,Sterkfontein,Male
1006,Nthabiseng,Brown,nthabiseng.brown29@gmail.com,2024-08-09,Harrismith,Female
1007,Sandile,Motaung,sandile.motaung85@gmail.com,2024-01-13,Harrismith,Female
1008,Musa,Smith,musa.smith22@outlook.com,2024-10-30,Sterkfontein,Female
1009,Nompumelelo,Zulu,nompumelelo.zulu22@outlook.com,2024-11-16,Harrismith,Female
1010,Lungelo,Smith,lungelo.smith54@yahoo.com,2024-06-20,Bergville,Female
1011,Nozipho,Khumalo,nozipho.khumalo93@gmail.com,2024-05-08,Bethlehem,Female
1012,Nompumelelo,Smith,nompumelelo.smith87@gmail.com,2024-05-06,Harrismith,Female
1013,Michael,Mokoena,michael.mokoena32@gmail.com,2024-02-25,Harrismith,Male
1014,Zanele,Brown,zanele.brown28@outlook.com,2024-08-30,Bethlehem,Male
1015,Karen,Du Plessis,karen.duplessis61@gmail.com,2024-05-02,Harrismith,Male
1016,Elmarie,Botha,elmarie.botha52@yahoo.com,2024-06-23,Harrismith,Male
1017,Sipho,Mahlangu,sipho.mahlangu70@outlook.com,2024-01-28,Harrismith,Female
1018,Lerato,Smith,lerato.smith12@gmail.com,2024-06-19,Bethlehem,Female
1019,Zanele,Ndlovu,zanele.ndlovu48@gmail.com,2024-09-23,Vrede,Male
1020,Bongiwe,Mahlangu,bongiwe.mahlangu72@outlook.com,2024-05-01,Colenso,Male
1021,Sandile,Jones,sandile.jones39@gmail.com,2024-02-07,Phuthaditjhaba,Male
1022,David,Steyn,david.steyn66@yahoo.com,2024-11-03,Bethlehem,Male
1023,Sifiso,Taylor,sifiso.taylor63@yahoo.com,2024-11-13,Bethlehem,Female
1024,Lerato,Molefe,lerato.molefe66@gmail.com,2024-08-12,Colenso,Male
1025,Lisa,Ndlovu,lisa.ndlovu62@outlook.com,2024-02-18,Harrismith,Female
